2,1085,79001,856,1028,35417,812,57,43584,44,6,6,0,17,4,0,3,5,0,1,1,0
1,2397,168094,1954,2350,72372,1918,47,95722,36,3,0,3,0,1,15,7,81,5920,1,1,0
1,697,82880,471,656,68449,442,41,14431,29,8,0,8,5,0,163,35,232,49,1,1,0
1,689,114836,605,666,81317,589,23,33519,16,3,1,2,1,1,1,4,27,9,1,1,0
2,571,50387,531,541,30416,503,30,19971,28,35,3,32,26,31,25,155,953,3518,1,1,0
1,930,145426,59,848,67965,53,82,77461,6,13,1,12,2,5,21,14,43,222,1,1,0
2,388,293389,263,383,112970,258,5,180419,5,1,1,0,1,2,0,2,3,0,1,1,0
2,304,1011693,113,258,100194,76,46,911499,37,324,0,324,3,156,9027,8975,13002,1239,1,1,1
2,208,57654,154,206,51611,153,2,6043,1,47,20,27,109,196,50,295,1329,817,1,1,0
1,575,55890,232,547,49031,227,28,6859,5,1,0,1,0,1,0,0,6,0,1,1,0
2,19,16662,1,15,15166,0,4,1496,1,3,2,1,1,3,0,1,11,41,1,0,0
1,274,2233283,35,146,254724,29,128,1978559,6,52,0,52,0,0,2,4,12,0,0,0,1
